id,number,manufacturer,name,description,productStatus,inventory,price
LW10636410,LW10636410,Whirlpool,Refrigerator Door (includes Door Gasket) (white),Refrigerator Door (includes Door Gasket) (white),backordered,0,$373.60
LW10668874,LW10668874,Whirlpool,Refrigerator Door (includes Door Gasket) (black),Refrigerator Door (includes Door Gasket) (black),backordered,0,$373.60
W11575716,W11575716,Whirlpool,Refrigerator Door (includes Door Gasket) (stainless),Refrigerator Door (includes Door Gasket) (stainless),backordered,0,$373.60
WPW10170540,WPW10170540,Whirlpool,"Screw 
(Replaces: W10170540)","Screw 
(Replaces: W10170540)",in_stock,90,$6.70
WPW10672333,WPW10672333,Whirlpool,"Handle, Door (white) 
(Replaces: W10672333)","Handle, Door (white) 
(Replaces: W10672333)",in_stock,7,$145.90
WPW10672334,WPW10672334,Whirlpool,"Handle, Door (black) (Replaces: W10672334)","Handle, Door (black) (Replaces: W10672334)",in_stock,49,$145.90
W10806512,W10806512,Whirlpool,"Handle, Door (stainless) 
(Replaces: W10653470)","Handle, Door (stainless) 
(Replaces: W10653470)",in_stock,45,$151.10
WP489357,WP489357,Whirlpool,"Screw 
(Replaces: 489357)","Screw 
(Replaces: 489357)",in_stock,81,$4.80
W10838574,W10838574,Whirlpool,"Gasket, Door (white)","Gasket, Door (white)",in_stock,67,$90.40
W11240749,W11240749,Whirlpool,"Gasket, Door (black)","Gasket, Door (black)",in_stock,54,$193.00
W11784834,W11784834,Whirlpool,"Gasket, Door (grey)","Gasket, Door (grey)",backordered,0,$143.40
W11097831,W11097831,Whirlpool,"Trim, Door (Replaces: W10719703)","Trim, Door (Replaces: W10719703)",in_stock,70,$7.70
W11178521,W11178521,Whirlpool,"Badge 
(Replaces: W10884775)","Badge 
(Replaces: W10884775)",in_stock,28,$36.90
W11129820,W11129820,Whirlpool,"Trim, Door 
(Replaces: W10719700)","Trim, Door 
(Replaces: W10719700)",in_stock,97,$81.70
LW10636409,LW10636409,Whirlpool,Freezer Door (includes Door Gasket) (white) (Replaces: W10636409),Freezer Door (includes Door Gasket) (white) (Replaces: W10636409),backordered,0,$329.90
LW10668875,LW10668875,Whirlpool,Freezer Door (includes Door Gasket) (black),Freezer Door (includes Door Gasket) (black),backordered,0,$372.40
LW10638683,LW10638683,Whirlpool,Freezer Door (includes Door Gasket) (stainless),Freezer Door (includes Door Gasket) (stainless),backordered,0,$428.30
W10830984,W10830984,Whirlpool,"Plug, Hole (white)","Plug, Hole (white)",in_stock,53,$4.80
W10830983,W10830983,Whirlpool,"Plug, Hole (black)","Plug, Hole (black)",backordered,0,$11.50
W10830982,W10830982,Whirlpool,"Plug, Hole (grey)","Plug, Hole (grey)",in_stock,81,$11.50
WP2183003,WP2183003,Whirlpool,Thimble,Thimble,backordered,0,$4.80
W10861499,W10861499,Whirlpool,"Gasket, Door (white) (Replaces: W10638675)","Gasket, Door (white) (Replaces: W10638675)",backordered,0,$71.90
W11229610,W11229610,Whirlpool,"Gasket, Door (black)","Gasket, Door (black)",in_stock,53,$193.00
W11574983,W11574983,Whirlpool,"Gasket, Door (grey)","Gasket, Door (grey)",backordered,0,$51.00
WP8281206,WP8281206,Whirlpool,Screw,Screw,backordered,0,$4.80
W11745278,W11745278,Whirlpool,"Bracket, Door Stop","Bracket, Door Stop",in_stock,77,$8.40
WP488921,WP488921,Whirlpool,Screw,Screw,in_stock,50,$4.80
WP2212648,WP2212648,Whirlpool,"Plug, Hole (white) 
(Replaces: 2212648)","Plug, Hole (white) 
(Replaces: 2212648)",backordered,0,$4.80
WP2212651,WP2212651,Whirlpool,"Plug, Hole (black)","Plug, Hole (black)",in_stock,48,$14.30
WP2254517,WP2254517,Whirlpool,"Plug, Hole (grey)","Plug, Hole (grey)",backordered,0,$14.30
WP2156003,WP2156003,Whirlpool,"Endcap, Trim 
(Replaces: 2156003)","Endcap, Trim 
(Replaces: 2156003)",in_stock,28,$8.40
WP2218113,WP2218113,Whirlpool,"Door, Compartment 
(Replaces: 2218113)","Door, Compartment 
(Replaces: 2218113)",in_stock,7,$37.40
WP2188234,WP2188234,Whirlpool,"Door, Flip Up 
(Replaces: 2188234)","Door, Flip Up 
(Replaces: 2188234)",in_stock,29,$38.70
W11106290,W11106290,Whirlpool,"Trim, Shelf Door (Replaces: W10719701)","Trim, Shelf Door (Replaces: W10719701)",in_stock,3,$81.70
W11170805,W11170805,Whirlpool,"Trim, Door (Replaces: W10678772)","Trim, Door (Replaces: W10678772)",backordered,0,$81.70
W11126055,W11126055,Whirlpool,"Trim, Door (Replaces: W10719702)","Trim, Door (Replaces: W10719702)",backordered,0,$81.70
W11402852,W11402852,Whirlpool,"Bracket, Door Stop","Bracket, Door Stop",backordered,0,$81.70
WPW10511911,WPW10511911,Whirlpool,"Bushing, Handle","Bushing, Handle",backordered,0,$81.70
WP2264462,WP2264462,Whirlpool,"Grommet 
(Replaces: 2264462 2197380)","Grommet 
(Replaces: 2264462 2197380)",in_stock,41,$29.70
W10849448,W10849448,Whirlpool,"Gasket, Evaporator Cover","Gasket, Evaporator Cover",backordered,0,$60.50
W10854527,W10854527,Whirlpool,"Cover, Screw (Replaces: W10487421)","Cover, Screw (Replaces: W10487421)",backordered,0,$6.20
WP941839,WP941839,Whirlpool,Hole Plug (white),Hole Plug (white),backordered,0,$4.80
WP488163,WP488163,Whirlpool,Screw,Screw,backordered,0,
W11436564,W11436564,Whirlpool,"Wire Assembly, Control Box","Wire Assembly, Control Box",backordered,0,$45.30
4387478,4387478,Whirlpool,"Socket, Light","Socket, Light",in_stock,85,$71.70
W11544659,W11544659,Whirlpool,Screw,Screw,backordered,0,
WP2315539,WP2315539,Whirlpool,"Motor, Evaporator Fan 
(Replaces: 2315539)","Motor, Evaporator Fan 
(Replaces: 2315539)",in_stock,11,$69.40
